blockname,availability,timeblock
SHG/MARFC/PRECIP/QPF-QPF,m,01JAN2017:0000/01JAN2017:0600
SHG/MARFC/PRECIP/QPF-QPF,m,01JAN2017:0600/01JAN2017:1200
SHG/MARFC/PRECIP/QPF-QPF,a,01JAN2017:1200/01JAN2017:1800
SHG/MARFC/PRECIP/QPF-QPF,a,01JAN2017:1800/01JAN2017:2400
SHG/MARFC/PRECIP/QPF-QPF,a,02JAN2017:0000/02JAN2017:0600
SHG/MARFC/PRECIP/QPF-QPF,a,02JAN2017:0600/02JAN2017:1200
SHG/MARFC/PRECIP/QPF-QPF,a,02JAN2017:1200/02JAN2017:1800
SHG/MARFC/PRECIP/QPF-QPF,a,02JAN2017:1800/02JAN2017:2400
SHG/MARFC/PRECIP/QPF-QPF,a,03JAN2017:0000/03JAN2017:0600
SHG/MARFC/PRECIP/QPF-QPF,a,03JAN2017:0600/03JAN2017:1200
SHG/MARFC/PRECIP/QPF-QPF,a,03JAN2017:1200/03JAN2017:1800
SHG/MARFC/PRECIP/QPF-QPF,a,03JAN2017:1800/03JAN2017:2400
SHG/MARFC/PRECIP/QPF-QPF,a,04JAN2017:0000/04JAN2017:0600
SHG/MARFC/PRECIP/QPF-QPF,a,04JAN2017:0600/04JAN2017:1200
SHG/MARFC/PRECIP/QPF-QPF,a,04JAN2017:1200/04JAN2017:1800
SHG/MARFC/PRECIP/QPF-QPF,a,04JAN2017:1800/04JAN2017:2400
SHG/MARFC/PRECIP/QPF-QPF,a,05JAN2017:0000/05JAN2017:0600
SHG/MARFC/PRECIP/QPF-QPF,a,05JAN2017:0600/05JAN2017:1200
SHG/MARFC/PRECIP/QPF-QPF,a,05JAN2017:1200/05JAN2017:1800
SHG/MARFC/PRECIP/QPF-QPF,a,05JAN2017:1800/05JAN2017:2400
SHG/MARFC/PRECIP/QPF-QPF,a,06JAN2017:0000/06JAN2017:0600
SHG/MARFC/PRECIP/QPF-QPF,a,06JAN2017:0600/06JAN2017:1200
SHG/MARFC/PRECIP/QPF-QPF,a,06JAN2017:1200/06JAN2017:1800
SHG/MARFC/PRECIP/QPF-QPF,a,06JAN2017:1800/06JAN2017:2400
SHG/MARFC/PRECIP/QPF-QPF,a,07JAN2017:0000/07JAN2017:0600
SHG/MARFC/PRECIP/QPF-QPF,a,07JAN2017:0600/07JAN2017:1200
SHG/MARFC/PRECIP/QPF-QPF,a,07JAN2017:1200/07JAN2017:1800
SHG/MARFC/PRECIP/QPF-QPF,a,07JAN2017:1800/07JAN2017:2400
SHG/MARFC/PRECIP/QPF-QPF,a,08JAN2017:0000/08JAN2017:0600
SHG/MARFC/PRECIP/QPF-QPF,a,08JAN2017:0600/08JAN2017:1200
SHG/MARFC/PRECIP/QPF-QPF,a,08JAN2017:1200/08JAN2017:1800
SHG/MARFC/PRECIP/QPF-QPF,a,08JAN2017:1800/08JAN2017:2400
SHG/MARFC/PRECIP/QPF-QPF,a,09JAN2017:0000/09JAN2017:0600
SHG/MARFC/PRECIP/QPF-QPF,a,09JAN2017:0600/09JAN2017:1200
SHG/MARFC/PRECIP/QPF-QPF,a,09JAN2017:1200/09JAN2017:1800
SHG/MARFC/PRECIP/QPF-QPF,a,09JAN2017:1800/09JAN2017:2400
SHG/MARFC/PRECIP/QPF-QPF,a,10JAN2017:0000/10JAN2017:0600
SHG/MARFC/PRECIP/QPF-QPF,a,10JAN2017:0600/10JAN2017:1200
SHG/MARFC/PRECIP/QPF-QPF,a,10JAN2017:1200/10JAN2017:1800
SHG/MARFC/PRECIP/QPF-QPF,a,10JAN2017:1800/10JAN2017:2400
SHG/MARFC/PRECIP/QPF-QPF,a,11JAN2017:0000/11JAN2017:0600
SHG/MARFC/PRECIP/QPF-QPF,a,11JAN2017:0600/11JAN2017:1200
SHG/MARFC/PRECIP/QPF-QPF,a,11JAN2017:1200/11JAN2017:1800
SHG/MARFC/PRECIP/QPF-QPF,a,11JAN2017:1800/11JAN2017:2400
SHG/MARFC/PRECIP/QPF-QPF,a,12JAN2017:0000/12JAN2017:0600
SHG/MARFC/PRECIP/QPF-QPF,a,12JAN2017:0600/12JAN2017:1200
