
     HECDSS Complete Catalog of Record Pathnames in File precip.2017.01.dss

     Catalog Created on Oct 27, 2017 at 13:28    File Created on Dec 31, 2016
     Number of Records:   3864                   DSS Version 6-SA,  File 6-UE
     Sort Order: ABCFED

  Ref.                     Last Written
 Number   Tag     Program   Date  Time  Type Vers Data        Record Pathname

     1  T23       Undefi  01JAN17 15:37  GAT   2 9999   /SHG/MARFC/PRECIP/01JAN2017:1200/01JAN2017:1800/QPF-QPF/
     2  T22       Undefi  01JAN17 21:37  GAT   4 7679   /SHG/MARFC/PRECIP/01JAN2017:1800/01JAN2017:2400/QPF-QPF/
     3  T21       Undefi  02JAN17 02:37  GAT   6 9999   /SHG/MARFC/PRECIP/02JAN2017:0000/02JAN2017:0600/QPF-QPF/
     4  T19       Undefi  02JAN17 02:37  GAT   6 9999   /SHG/MARFC/PRECIP/02JAN2017:0600/02JAN2017:1200/QPF-QPF/
     5  T16       Undefi  02JAN17 14:37  GAT  10 9999   /SHG/MARFC/PRECIP/02JAN2017:1200/02JAN2017:1800/QPF-QPF/
     6  T12       Undefi  03JAN17 00:37  GAT  11 9999   /SHG/MARFC/PRECIP/02JAN2017:1800/02JAN2017:2400/QPF-QPF/
     7  T15       Undefi  03JAN17 02:37  GAT  13 9999   /SHG/MARFC/PRECIP/03JAN2017:0000/03JAN2017:0600/QPF-QPF/
     8  T14       Undefi  03JAN17 02:37  GAT  13 9999   /SHG/MARFC/PRECIP/03JAN2017:0600/03JAN2017:1200/QPF-QPF/
     9  T17       Undefi  03JAN17 14:38  GAT  15 9999   /SHG/MARFC/PRECIP/03JAN2017:1200/03JAN2017:1800/QPF-QPF/
    10  T13       Undefi  06JAN17 19:57  GAT  19 9999   /SHG/MARFC/PRECIP/03JAN2017:1800/03JAN2017:2400/QPF-QPF/
    11  T18       Undefi  06JAN17 19:57  GAT  24 9999   /SHG/MARFC/PRECIP/04JAN2017:0000/04JAN2017:0600/QPF-QPF/
    12  T20       Undefi  06JAN17 19:57  GAT  24 9999   /SHG/MARFC/PRECIP/04JAN2017:0600/04JAN2017:1200/QPF-QPF/
    13  T30       Undefi  06JAN17 19:58  GAT  28 9999   /SHG/MARFC/PRECIP/04JAN2017:1200/04JAN2017:1800/QPF-QPF/
    14  T36       Undefi  06JAN17 20:00  GAT  32 9999   /SHG/MARFC/PRECIP/04JAN2017:1800/04JAN2017:2400/QPF-QPF/
    15  T51       Undefi  06JAN17 20:01  GAT  36 9999   /SHG/MARFC/PRECIP/05JAN2017:0000/05JAN2017:0600/QPF-QPF/
    16  T50       Undefi  06JAN17 20:01  GAT  36 9999   /SHG/MARFC/PRECIP/05JAN2017:0600/05JAN2017:1200/QPF-QPF/
    17  T61       Undefi  06JAN17 20:02  GAT  39 9999   /SHG/MARFC/PRECIP/05JAN2017:1200/05JAN2017:1800/QPF-QPF/
    18  T64       Undefi  06JAN17 20:04  GAT  43 9999   /SHG/MARFC/PRECIP/05JAN2017:1800/05JAN2017:2400/QPF-QPF/
    19  T79       Undefi  06JAN17 20:05  GAT  47 9999   /SHG/MARFC/PRECIP/06JAN2017:0000/06JAN2017:0600/QPF-QPF/
    20  T80       Undefi  06JAN17 20:05  GAT  47 9999   /SHG/MARFC/PRECIP/06JAN2017:0600/06JAN2017:1200/QPF-QPF/
    21  T87       Undefi  06JAN17 20:06  GAT  51 9999   /SHG/MARFC/PRECIP/06JAN2017:1200/06JAN2017:1800/QPF-QPF/
    22  T92       Undefi  09JAN17 19:58  GAT  52 9999   /SHG/MARFC/PRECIP/06JAN2017:1800/06JAN2017:2400/QPF-QPF/
    23  T107      Undefi  09JAN17 19:59  GAT  52 9999   /SHG/MARFC/PRECIP/07JAN2017:0000/07JAN2017:0600/QPF-QPF/
    24  T106      Undefi  09JAN17 19:59  GAT  52 9999   /SHG/MARFC/PRECIP/07JAN2017:0600/07JAN2017:1200/QPF-QPF/
    25  T115      Undefi  09JAN17 20:00  GAT  52 9999   /SHG/MARFC/PRECIP/07JAN2017:1200/07JAN2017:1800/QPF-QPF/
    26  T120      Undefi  09JAN17 20:02  GAT  50 9999   /SHG/MARFC/PRECIP/07JAN2017:1800/07JAN2017:2400/QPF-QPF/
    27  T135      Undefi  09JAN17 20:02  GAT  48 9999   /SHG/MARFC/PRECIP/08JAN2017:0000/08JAN2017:0600/QPF-QPF/
    28  T136      Undefi  09JAN17 20:02  GAT  48 9999   /SHG/MARFC/PRECIP/08JAN2017:0600/08JAN2017:1200/QPF-QPF/
    29  T143      Undefi  09JAN17 20:03  GAT  46 9999   /SHG/MARFC/PRECIP/08JAN2017:1200/08JAN2017:1800/QPF-QPF/
    30  T147      Undefi  09JAN17 20:05  GAT  44 9999   /SHG/MARFC/PRECIP/08JAN2017:1800/08JAN2017:2400/QPF-QPF/
    31  T164      Undefi  09JAN17 20:05  GAT  42 9999   /SHG/MARFC/PRECIP/09JAN2017:0000/09JAN2017:0600/QPF-QPF/
    32  T163      Undefi  09JAN17 20:05  GAT  42 4347   /SHG/MARFC/PRECIP/09JAN2017:0600/09JAN2017:1200/QPF-QPF/
    33  T171      Undefi  09JAN17 20:06  GAT  40 9999   /SHG/MARFC/PRECIP/09JAN2017:1200/09JAN2017:1800/QPF-QPF/
    34  T176      Undefi  09JAN17 22:37  GAT  38 9458   /SHG/MARFC/PRECIP/09JAN2017:1800/09JAN2017:2400/QPF-QPF/
    35  T247      Undefi  10JAN17 02:37  GAT  36  572   /SHG/MARFC/PRECIP/10JAN2017:0000/10JAN2017:0600/QPF-QPF/
    36  T248      Undefi  10JAN17 02:37  GAT  36 9999   /SHG/MARFC/PRECIP/10JAN2017:0600/10JAN2017:1200/QPF-QPF/
    37  T249      Undefi  10JAN17 14:37  GAT  32 9999   /SHG/MARFC/PRECIP/10JAN2017:1200/10JAN2017:1800/QPF-QPF/
    38  T250      Undefi  10JAN17 21:39  GAT  30 9999   /SHG/MARFC/PRECIP/10JAN2017:1800/10JAN2017:2400/QPF-QPF/
    39  T252      Undefi  11JAN17 03:37  GAT  28 9999   /SHG/MARFC/PRECIP/11JAN2017:0000/11JAN2017:0600/QPF-QPF/
    40  T251      Undefi  11JAN17 03:37  GAT  28 9999   /SHG/MARFC/PRECIP/11JAN2017:0600/11JAN2017:1200/QPF-QPF/
    41  T253      Undefi  11JAN17 14:37  GAT  26 9999   /SHG/MARFC/PRECIP/11JAN2017:1200/11JAN2017:1800/QPF-QPF/
    42  T254      Undefi  11JAN17 19:38  GAT  24 9999   /SHG/MARFC/PRECIP/11JAN2017:1800/11JAN2017:2400/QPF-QPF/
    43  T255      Undefi  12JAN17 03:37  GAT  22 9999   /SHG/MARFC/PRECIP/12JAN2017:0000/12JAN2017:0600/QPF-QPF/
    44  T256      Undefi  12JAN17 03:37  GAT  22 9999   /SHG/MARFC/PRECIP/12JAN2017:0600/12JAN2017:1200/QPF-QPF/
    45  T257      Undefi  12JAN17 14:37  GAT  20 9999   /SHG/MARFC/PRECIP/12JAN2017:1200/12JAN2017:1800/QPF-QPF/
    46  T261      Undefi  12JAN17 21:37  GAT  19 9999   /SHG/MARFC/PRECIP/12JAN2017:1800/12JAN2017:2400/QPF-QPF/
    47  T276      Undefi  13JAN17 04:37  GAT  18 9999   /SHG/MARFC/PRECIP/13JAN2017:0000/13JAN2017:0600/QPF-QPF/
    48  T275      Undefi  13JAN17 04:37  GAT  18 9999   /SHG/MARFC/PRECIP/13JAN2017:0600/13JAN2017:1200/QPF-QPF/
    49  T282      Undefi  13JAN17 13:37  GAT  18 9999   /SHG/MARFC/PRECIP/13JAN2017:1200/13JAN2017:1800/QPF-QPF/
    50  T289      Undefi  13JAN17 21:37  GAT  18 9999   /SHG/MARFC/PRECIP/13JAN2017:1800/13JAN2017:2400/QPF-QPF/
    51  T303      Undefi  14JAN17 03:37  GAT  18 9999   /SHG/MARFC/PRECIP/14JAN2017:0000/14JAN2017:0600/QPF-QPF/
    52  T304      Undefi  14JAN17 03:37  GAT  18 9999   /SHG/MARFC/PRECIP/14JAN2017:0600/14JAN2017:1200/QPF-QPF/
    53  T310      Undefi  14JAN17 13:37  GAT  18 9999   /SHG/MARFC/PRECIP/14JAN2017:1200/14JAN2017:1800/QPF-QPF/
    54  T317      Undefi  17JAN17 19:03  GAT  19 9999   /SHG/MARFC/PRECIP/14JAN2017:1800/14JAN2017:2400/QPF-QPF/
    55  T332      Undefi  17JAN17 19:04  GAT  21 9999   /SHG/MARFC/PRECIP/15JAN2017:0000/15JAN2017:0600/QPF-QPF/
    56  T331      Undefi  17JAN17 19:04  GAT  21 9999   /SHG/MARFC/PRECIP/15JAN2017:0600/15JAN2017:1200/QPF-QPF/
    57  T338      Undefi  17JAN17 19:06  GAT  23 9999   /SHG/MARFC/PRECIP/15JAN2017:1200/15JAN2017:1800/QPF-QPF/
    58  T346      Undefi  17JAN17 19:10  GAT  25 9999   /SHG/MARFC/PRECIP/15JAN2017:1800/15JAN2017:2400/QPF-QPF/
    59  T358      Undefi  17JAN17 19:11  GAT  27 9999   /SHG/MARFC/PRECIP/16JAN2017:0000/16JAN2017:0600/QPF-QPF/
    60  T359      Undefi  17JAN17 19:11  GAT  27 9999   /SHG/MARFC/PRECIP/16JAN2017:0600/16JAN2017:1200/QPF-QPF/
    61  T366      Undefi  17JAN17 19:13  GAT  29 9999   /SHG/MARFC/PRECIP/16JAN2017:1200/16JAN2017:1800/QPF-QPF/
    62  T1690     Undefi  17JAN17 19:14  GAT  31 9999   /SHG/MARFC/PRECIP/16JAN2017:1800/16JAN2017:2400/QPF-QPF/
    63  T1761     Undefi  17JAN17 19:14  GAT  33 9999   /SHG/MARFC/PRECIP/17JAN2017:0000/17JAN2017:0600/QPF-QPF/
    64  T1760     Undefi  17JAN17 19:14  GAT  33 9999   /SHG/MARFC/PRECIP/17JAN2017:0600/17JAN2017:1200/QPF-QPF/
    65  T1792     Undefi  17JAN17 19:16  GAT  35 9999   /SHG/MARFC/PRECIP/17JAN2017:1200/17JAN2017:1800/QPF-QPF/
    66  T1811     Undefi  17JAN17 22:37  GAT  35 9999   /SHG/MARFC/PRECIP/17JAN2017:1800/17JAN2017:2400/QPF-QPF/
    67  T1885     Undefi  18JAN17 02:37  GAT  34 9999   /SHG/MARFC/PRECIP/18JAN2017:0000/18JAN2017:0600/QPF-QPF/
    68  T1886     Undefi  18JAN17 02:37  GAT  34 9999   /SHG/MARFC/PRECIP/18JAN2017:0600/18JAN2017:1200/QPF-QPF/
    69  T1916     Undefi  18JAN17 14:37  GAT  32 9999   /SHG/MARFC/PRECIP/18JAN2017:1200/18JAN2017:1800/QPF-QPF/
    70  T1936     Undefi  18JAN17 21:40  GAT  30 9999   /SHG/MARFC/PRECIP/18JAN2017:1800/18JAN2017:2400/QPF-QPF/
    71  T2010     Undefi  19JAN17 03:42  GAT  28 9999   /SHG/MARFC/PRECIP/19JAN2017:0000/19JAN2017:0600/QPF-QPF/
    72  T2009     Undefi  19JAN17 03:41  GAT  28 2749   /SHG/MARFC/PRECIP/19JAN2017:0600/19JAN2017:1200/QPF-QPF/
    73  T2041     Undefi  19JAN17 14:39  GAT  26 7126   /SHG/MARFC/PRECIP/19JAN2017:1200/19JAN2017:1800/QPF-QPF/
    74  T2059     Undefi  19JAN17 21:37  GAT  24 4537   /SHG/MARFC/PRECIP/19JAN2017:1800/19JAN2017:2400/QPF-QPF/
    75  T2121     Undefi  20JAN17 03:37  GAT  22 8349   /SHG/MARFC/PRECIP/20JAN2017:0000/20JAN2017:0600/QPF-QPF/
    76  T2122     Undefi  20JAN17 03:37  GAT  22 9999   /SHG/MARFC/PRECIP/20JAN2017:0600/20JAN2017:1200/QPF-QPF/
    77  T2165     Undefi  20JAN17 15:37  GAT  20 9999   /SHG/MARFC/PRECIP/20JAN2017:1200/20JAN2017:1800/QPF-QPF/
    78  T2182     Undefi  20JAN17 23:37  GAT  19 9999   /SHG/MARFC/PRECIP/20JAN2017:1800/20JAN2017:2400/QPF-QPF/
    79  T2246     Undefi  21JAN17 03:45  GAT  18 9999   /SHG/MARFC/PRECIP/21JAN2017:0000/21JAN2017:0600/QPF-QPF/
    80  T2245     Undefi  21JAN17 03:45  GAT  18 9469   /SHG/MARFC/PRECIP/21JAN2017:0600/21JAN2017:1200/QPF-QPF/
    81  T2289     Undefi  21JAN17 15:37  GAT  18 9999   /SHG/MARFC/PRECIP/21JAN2017:1200/21JAN2017:1800/QPF-QPF/
    82  T2307     Undefi  21JAN17 21:37  GAT  18 9999   /SHG/MARFC/PRECIP/21JAN2017:1800/21JAN2017:2400/QPF-QPF/
    83  T2369     Undefi  22JAN17 03:37  GAT  18 9999   /SHG/MARFC/PRECIP/22JAN2017:0000/22JAN2017:0600/QPF-QPF/
    84  T2370     Undefi  22JAN17 03:37  GAT  18 9999   /SHG/MARFC/PRECIP/22JAN2017:0600/22JAN2017:1200/QPF-QPF/
    85  T2413     Undefi  22JAN17 13:37  GAT  18 9999   /SHG/MARFC/PRECIP/22JAN2017:1200/22JAN2017:1800/QPF-QPF/
    86  T2457     Undefi  22JAN17 21:41  GAT  18 9999   /SHG/MARFC/PRECIP/22JAN2017:1800/22JAN2017:2400/QPF-QPF/
    87  T2492     Undefi  23JAN17 03:39  GAT  18 9999   /SHG/MARFC/PRECIP/23JAN2017:0000/23JAN2017:0600/QPF-QPF/
    88  T2493     Undefi  23JAN17 03:39  GAT  18 9999   /SHG/MARFC/PRECIP/23JAN2017:0600/23JAN2017:1200/QPF-QPF/
    89  T2538     Undefi  23JAN17 16:43  GAT  18 9999   /SHG/MARFC/PRECIP/23JAN2017:1200/23JAN2017:1800/QPF-QPF/
    90  T2557     Undefi  23JAN17 22:37  GAT  18 9999   /SHG/MARFC/PRECIP/23JAN2017:1800/23JAN2017:2400/QPF-QPF/
    91  T2629     Undefi  24JAN17 03:39  GAT  20 9999   /SHG/MARFC/PRECIP/24JAN2017:0000/24JAN2017:0600/QPF-QPF/
    92  T2628     Undefi  24JAN17 09:37  GAT  22 9999   /SHG/MARFC/PRECIP/24JAN2017:0600/24JAN2017:1200/QPF-QPF/
    93  T2648     Undefi  24JAN17 15:55  GAT  22 9999   /SHG/MARFC/PRECIP/24JAN2017:1200/24JAN2017:1800/QPF-QPF/
    94  T2657     Undefi  24JAN17 21:37  GAT  22 9999   /SHG/MARFC/PRECIP/24JAN2017:1800/24JAN2017:2400/QPF-QPF/
    95  T2668     Undefi  25JAN17 02:37  GAT  22 9999   /SHG/MARFC/PRECIP/25JAN2017:0000/25JAN2017:0600/QPF-QPF/
    96  T2669     Undefi  25JAN17 02:37  GAT  22 9887   /SHG/MARFC/PRECIP/25JAN2017:0600/25JAN2017:1200/QPF-QPF/
    97  T2676     Undefi  25JAN17 14:37  GAT  22 9999   /SHG/MARFC/PRECIP/25JAN2017:1200/25JAN2017:1800/QPF-QPF/
    98  T2685     Undefi  25JAN17 20:37  GAT  22 9999   /SHG/MARFC/PRECIP/25JAN2017:1800/25JAN2017:2400/QPF-QPF/
    99  T2698     Undefi  26JAN17 02:42  GAT  22 9999   /SHG/MARFC/PRECIP/26JAN2017:0000/26JAN2017:0600/QPF-QPF/
   100  T2697     Undefi  26JAN17 02:42  GAT  22 9999   /SHG/MARFC/PRECIP/26JAN2017:0600/26JAN2017:1200/QPF-QPF/
   101  T2714     Undefi  26JAN17 13:37  GAT  22 9999   /SHG/MARFC/PRECIP/26JAN2017:1200/26JAN2017:1800/QPF-QPF/
   102  T2756     Undefi  26JAN17 21:37  GAT  22 9999   /SHG/MARFC/PRECIP/26JAN2017:1800/26JAN2017:2400/QPF-QPF/
   103  T2799     Undefi  27JAN17 02:37  GAT  20 9999   /SHG/MARFC/PRECIP/27JAN2017:0000/27JAN2017:0600/QPF-QPF/
   104  T2854     Undefi  27JAN17 02:37  GAT  18 9999   /SHG/MARFC/PRECIP/27JAN2017:0600/27JAN2017:1200/QPF-QPF/
   105  T2886     Undefi  27JAN17 13:39  GAT  18 9999   /SHG/MARFC/PRECIP/27JAN2017:1200/27JAN2017:1800/QPF-QPF/
   106  T2904     Undefi  30JAN17 18:14  GAT  19 9999   /SHG/MARFC/PRECIP/27JAN2017:1800/27JAN2017:2400/QPF-QPF/
   107  T2973     Undefi  30JAN17 18:14  GAT  20 9999   /SHG/MARFC/PRECIP/28JAN2017:0000/28JAN2017:0600/QPF-QPF/
   108  T2972     Undefi  30JAN17 18:14  GAT  20 9999   /SHG/MARFC/PRECIP/28JAN2017:0600/28JAN2017:1200/QPF-QPF/
   109  T3004     Undefi  31JAN17 12:46  GAT  23 9999   /SHG/MARFC/PRECIP/28JAN2017:1200/28JAN2017:1800/QPF-QPF/
   110  T3021     Undefi  31JAN17 19:00  GAT  28 9999   /SHG/MARFC/PRECIP/28JAN2017:1800/28JAN2017:2400/QPF-QPF/
   111  T3083     Undefi  31JAN17 19:01  GAT  34 9999   /SHG/MARFC/PRECIP/29JAN2017:0000/29JAN2017:0600/QPF-QPF/
   112  T3084     Undefi  31JAN17 19:01  GAT  34 9999   /SHG/MARFC/PRECIP/29JAN2017:0600/29JAN2017:1200/QPF-QPF/
   113  T3115     Undefi  31JAN17 19:03  GAT  40 9999   /SHG/MARFC/PRECIP/29JAN2017:1200/29JAN2017:1800/QPF-QPF/
   114  T3135     Undefi  31JAN17 19:13  GAT  46 9999   /SHG/MARFC/PRECIP/29JAN2017:1800/29JAN2017:2400/QPF-QPF/
   115  T3196     Undefi  31JAN17 19:14  GAT  52 9999   /SHG/MARFC/PRECIP/30JAN2017:0000/30JAN2017:0600/QPF-QPF/
   116  T3195     Undefi  31JAN17 19:14  GAT  52 9999   /SHG/MARFC/PRECIP/30JAN2017:0600/30JAN2017:1200/QPF-QPF/
   117  T3227     Undefi  31JAN17 19:15  GAT  58 9999   /SHG/MARFC/PRECIP/30JAN2017:1200/30JAN2017:1800/QPF-QPF/
   118  T3246     Undefi  02FEB17 16:27  GAT  63 9999   /SHG/MARFC/PRECIP/30JAN2017:1800/30JAN2017:2400/QPF-QPF/
   119  T3307     Undefi  02FEB17 16:28  GAT  68 8980   /SHG/MARFC/PRECIP/31JAN2017:0000/31JAN2017:0600/QPF-QPF/
   120  T3308     Undefi  02FEB17 16:28  GAT  68 9999   /SHG/MARFC/PRECIP/31JAN2017:0600/31JAN2017:1200/QPF-QPF/
   121  T3340     Undefi  02FEB17 16:28  GAT  70 9999   /SHG/MARFC/PRECIP/31JAN2017:1200/31JAN2017:1800/QPF-QPF/
   122  T3385     Undefi  03FEB17 18:08  GAT  69 9999   /SHG/MARFC/PRECIP/31JAN2017:1800/31JAN2017:2400/QPF-QPF/
   123  T3421     Undefi  03FEB17 18:09  GAT  66 9999   /SHG/MARFC/PRECIP/01FEB2017:0000/01FEB2017:0600/QPF-QPF/
   124  T3420     Undefi  03FEB17 18:09  GAT  66 9999   /SHG/MARFC/PRECIP/01FEB2017:0600/01FEB2017:1200/QPF-QPF/
   125  T3451     Undefi  03FEB17 18:09  GAT  58 9999   /SHG/MARFC/PRECIP/01FEB2017:1200/01FEB2017:1800/QPF-QPF/
   126  T3484     Undefi  03FEB17 18:09  GAT  50 9999   /SHG/MARFC/PRECIP/01FEB2017:1800/01FEB2017:2400/QPF-QPF/
   127  T3520     Undefi  03FEB17 18:10  GAT  42 9999   /SHG/MARFC/PRECIP/02FEB2017:0000/02FEB2017:0600/QPF-QPF/
   128  T3521     Undefi  03FEB17 18:09  GAT  42 9999   /SHG/MARFC/PRECIP/02FEB2017:0600/02FEB2017:1200/QPF-QPF/
   129  T3552     Undefi  03FEB17 18:09  GAT  34 9999   /SHG/MARFC/PRECIP/02FEB2017:1200/02FEB2017:1800/QPF-QPF/
   130  T3580     Undefi  03FEB17 18:09  GAT  26 9999   /SHG/MARFC/PRECIP/02FEB2017:1800/02FEB2017:2400/QPF-QPF/
   131  T3621     Undefi  03FEB17 18:09  GAT  18 8854   /SHG/MARFC/PRECIP/03FEB2017:0000/03FEB2017:0600/QPF-QPF/
   132  T3620     Undefi  03FEB17 18:09  GAT  18 9999   /SHG/MARFC/PRECIP/03FEB2017:0600/03FEB2017:1200/QPF-QPF/
   133  T3652     Undefi  03FEB17 18:10  GAT  11 9999   /SHG/MARFC/PRECIP/03FEB2017:1200/03FEB2017:1800/QPF-QPF/
   134  T3670     Undefi  03FEB17 18:09  GAT   5 9999   /SHG/MARFC/PRECIP/03FEB2017:1800/03FEB2017:2400/QPF-QPF/
   135  T3679     Undefi  04APR17 22:21  GAT   3 3876   /SHG/MARFC/PRECIP/04JAN2017:1200/04JAN2017:1300/STAGEIII/
   136  T3678     Undefi  04APR17 22:22  GAT   3 3018   /SHG/MARFC/PRECIP/04JAN2017:1300/04JAN2017:1400/STAGEIII/
   137  T3677     Undefi  04APR17 22:22  GAT   3 3334   /SHG/MARFC/PRECIP/04JAN2017:1400/04JAN2017:1500/STAGEIII/
